ts_code,ann_date,end_date,holder_name,hold_amount,hold_ratio,hold_float_ratio,hold_change,holder_type
688141.SH,20250430,20250331,深圳哈勃科技投资合伙企业(有限合伙),3600000.0,0.8055,1.3639,0.0,投资公司
688611.SH,20250430,20250331,汪业,906042.0,0.8269,0.827,,自然人
688611.SH,20250430,20250331,许炳灿,906041.0,0.8269,0.827,,自然人
688141.SH,20250430,20250331,中国建设银行股份有限公司-前海开源公用事业行业股票型证券投资基金,3863865.0,0.8646,1.4639,,开放式投资基金
688611.SH,20250430,20250331,张艳萍,1132552.0,1.0336,1.0337,0.0,自然人
688141.SH,20250430,20250331,中国工商银行股份有限公司-前海开源新经济灵活配置混合型证券投资基金,5165154.0,1.1558,1.9569,,开放式投资基金
688141.SH,20250430,20250331,宜宾晨道新能源产业股权投资合伙企业(有限合伙),3600000.0,0.8055,1.3639,0.0,风险投资公司
688611.SH,20250430,20250331,杭州广意投资管理合伙企业(有限合伙),10067137.0,9.1883,9.1884,0.0,投资公司
688141.SH,20250430,20250331,中国银行股份有限公司-国投瑞银新能源混合型证券投资基金,3816232.0,0.8539,1.4458,,开放式投资基金
688611.SH,20250430,20250331,杨寓画,906042.0,0.8269,0.827,0.0,自然人
688611.SH,20250430,20250331,谢方,2642623.0,2.4119,2.4119,0.0,自然人
688141.SH,20250430,20250331,香港中央结算有限公司,4906186.0,1.0978,1.8588,-609723.0,一般企业
688141.SH,20250430,20250331,兴业银行股份有限公司-兴全趋势投资混合型证券投资基金,7500000.0,1.6783,2.8415,,开放式投资基金
688611.SH,20250430,20250331,中国工商银行股份有限公司-富国天惠精选成长混合型证券投资基金(LOF),5000000.0,4.5635,4.5635,-57314.0,开放式投资基金
688141.SH,20250430,20250331,中电海康(杭州)股权投资管理有限公司-杭州海康智慧产业股权投资基金合伙企业(有限合伙),5229278.0,1.1701,1.9812,-1257490.0,风险投资公司
688611.SH,20250430,20250331,谢东,49077298.0,44.7932,44.7933,0.0,自然人
834788.BJ,20250429,20250331,苏州金阖二期股权投资合伙企业(有限合伙),1484649.0,3.1926,6.6418,-52847.0,风险投资公司
834788.BJ,20250429,20250331,上海鸿富私募基金管理有限公司-福建宜德股权投资合伙企业(有限合伙),350678.0,0.7541,1.5688,-200.0,风险投资公司
688314.SH,20250429,20250331,郑富君,507875.0,0.6251,0.6252,,自然人
